examples/c/app/out/app.elf:100009f8 00000004 b heap_end.5864
examples/c/app/out/app.elf:1a007318 00000004 t InitClkStates
examples/c/app/out/app.elf:1a00731c 00000074 t pinmuxing
examples/c/app/out/app.elf:1a000760 00000044 t Board_LED_Init
examples/c/app/out/app.elf:1a0007a4 00000040 t Board_TEC_Init
examples/c/app/out/app.elf:1a0007e4 00000040 t Board_GPIO_Init
examples/c/app/out/app.elf:1a000824 00000030 t Board_ADC_Init
examples/c/app/out/app.elf:1a000854 00000038 t Board_SPI_Init
examples/c/app/out/app.elf:1a00088c 00000024 t Board_I2C_Init
examples/c/app/out/app.elf:1a007394 00000008 t GpioButtons
examples/c/app/out/app.elf:1a00739c 0000000c t GpioLeds
examples/c/app/out/app.elf:1a0073a8 00000012 t GpioPorts
examples/c/app/out/app.elf:1a000950 00000014 t Chip_SSP_GetClockIndex
examples/c/app/out/app.elf:1a000964 00000018 t Chip_SSP_GetPeriphClockIndex
examples/c/app/out/app.elf:10000000 00000038 d i2c
examples/c/app/out/app.elf:1a000a84 00000014 t Chip_ADC_GetClockIndex
examples/c/app/out/app.elf:1a000a98 00000032 t getClkDiv
examples/c/app/out/app.elf:1a0073c0 00000048 t InitClkStates
examples/c/app/out/app.elf:1a000cb8 000000a0 t pll_calc_divs
examples/c/app/out/app.elf:1a000d58 0000010c t pll_get_frac
examples/c/app/out/app.elf:1a000e64 0000004c t Chip_Clock_FindBaseClock
examples/c/app/out/app.elf:1a0010d8 00000022 t Chip_Clock_GetDivRate
examples/c/app/out/app.elf:100009fc 00000008 b audio_usb_pll_freq
examples/c/app/out/app.elf:1a007414 0000006c t periph_to_base
examples/c/app/out/app.elf:1a001244 0000002c t Chip_UART_GetIndex
examples/c/app/out/app.elf:1a007480 00000008 t UART_BClock
examples/c/app/out/app.elf:1a007488 00000008 t UART_PClock
examples/c/app/out/app.elf:10000038 00000004 d ClockSpeed
examples/c/app/out/app.elf:1a0013f4 00000034 t gpioObtainPinInit
examples/c/app/out/app.elf:10000a04 00000004 b callBackFuncParams
examples/c/app/out/app.elf:10000a08 00000008 b tickCounter
examples/c/app/out/app.elf:10000a10 00000004 b tickHookFunction
examples/c/app/out/app.elf:10000a14 00000004 b g_hUsb
examples/c/app/out/app.elf:1a002664 00000050 t std
examples/c/app/out/app.elf:1a004eb4 00000084 t __sbprintf
examples/c/app/out/app.elf:1a0076c0 00000010 t blanks.8693
examples/c/app/out/app.elf:1a0076d0 00000010 t zeroes.8694
examples/c/app/out/app.elf:1a005008 00000124 t quorem
examples/c/app/out/app.elf:1a0077e0 0000000c t p05.7442
examples/c/app/out/app.elf:1a006f60 00000076 t __sprint_r.part.0
examples/c/app/out/app.elf:10000050 00000428 d impure_data
examples/c/app/out/app.elf:1a007800 t __init_array_end
examples/c/app/out/app.elf:1a0077fc b __preinit_array_end
examples/c/app/out/app.elf:1a0077fc t __init_array_start
examples/c/app/out/app.elf:1a0077fc b __preinit_array_start
examples/c/app/out/app.elf:1a007288 0000002c T __aeabi_dcmpun
examples/c/app/out/app.elf:1a000efc 0000001c T Chip_Clock_GetDividerSource
examples/c/app/out/app.elf:1a0005fc 00000012 T _isatty_r
examples/c/app/out/app.elf:1a0020ac 00000012 T __aeabi_dcmple
examples/c/app/out/app.elf:1a0001ba 00000002 W TIMER2_IRQHandler
examples/c/app/out/app.elf:1a001fe8 0000007a T __cmpdf2
examples/c/app/out/app.elf:1a00060e 0000000a T _lseek_r
examples/c/app/out/app.elf:1a000184 00000002 W DebugMon_Handler
examples/c/app/out/app.elf:1a0001ba 00000002 W RIT_IRQHandler
examples/c/app/out/app.elf:1a080000 A __top_MFlashA512
examples/c/app/out/app.elf:1a001fe8 0000007a T __eqdf2
examples/c/app/out/app.elf:1a0001ba 00000002 W ADCHS_IRQHandler
examples/c/app/out/app.elf:1a000114 T __section_table_start
examples/c/app/out/app.elf:1a0001ba 00000002 W FLASH_EEPROM_IRQHandler
examples/c/app/out/app.elf:1a001b58 0000005a T __floatdidf
examples/c/app/out/app.elf:1a0001ba 00000002 W I2C0_IRQHandler
examples/c/app/out/app.elf:1a0031c0 00000028 T printf
examples/c/app/out/app.elf:1a000946 00000008 T __stdio_init
examples/c/app/out/app.elf:10000a54 00000001 B __lock___atexit_recursive_mutex
examples/c/app/out/app.elf:1a007238 00000034 T _wcrtomb_r
examples/c/app/out/app.elf:1a00324c 00000020 T __sseek
examples/c/app/out/app.elf:1a0026c0 00000054 T __sinit
examples/c/app/out/app.elf:1a007188 000000b0 T __swbuf_r
examples/c/app/out/app.elf:1a00017a 00000002 W HardFault_Handler
examples/c/app/out/app.elf:1a000000 A __vectors_start__
examples/c/app/out/app.elf:1a000b3e 0000000c T Chip_ADC_SetResolution
examples/c/app/out/app.elf:1a0031b4 0000000c T __malloc_unlock
examples/c/app/out/app.elf:1a001748 0000002c T SysTick_Handler
examples/c/app/out/app.elf:10000a58 00000001 B __lock___arc4random_mutex
examples/c/app/out/app.elf:1a000558 00000002 W initialise_monitor_handles
examples/c/app/out/app.elf:1a0001ba 00000002 W SDIO_IRQHandler
examples/c/app/out/app.elf:1a0008e8 0000001c T Board_UARTGetChar
examples/c/app/out/app.elf:1a0001ba 00000002 W ATIMER_IRQHandler
examples/c/app/out/app.elf:1a006430 000000ce T memmove
examples/c/app/out/app.elf:1a000186 00000002 W PendSV_Handler
examples/c/app/out/app.elf:1a000178 00000002 W NMI_Handler
examples/c/app/out/app.elf:1a006500 0000004c T _Balloc
examples/c/app/out/app.elf:1a007808 R __exidx_end
examples/c/app/out/app.elf:1a000150 T __data_section_table_end
examples/c/app/out/app.elf:1a0001ba 00000002 W I2C1_IRQHandler
examples/c/app/out/app.elf:1a0001ba 00000002 W UART1_IRQHandler
examples/c/app/out/app.elf:1a001fd8 0000008a T __gtdf2
examples/c/app/out/app.elf:1a0001ba 00000002 W GPIO5_IRQHandler
examples/c/app/out/app.elf:1a0001ba 00000002 W CAN1_IRQHandler
examples/c/app/out/app.elf:1a0005f2 0000000a T _fstat_r
examples/c/app/out/app.elf:53ff7332 A __valid_user_code_checksum
examples/c/app/out/app.elf:1a007808 R _etext
examples/c/app/out/app.elf:1a002074 00000010 T __aeabi_cdcmple
examples/c/app/out/app.elf:1a0001ba 00000002 W USB1_IRQHandler
examples/c/app/out/app.elf:1a0001ba 00000002 W I2S0_IRQHandler
examples/c/app/out/app.elf:1a0001ba 00000002 W TIMER3_IRQHandler
examples/c/app/out/app.elf:1a00117a 0000000c T Chip_Clock_GetBaseClocktHz
examples/c/app/out/app.elf:1a0001ba 00000002 W UART0_IRQHandler
examples/c/app/out/app.elf:1a0001a8 00000012 T bss_init
examples/c/app/out/app.elf:1a002fd4 00000134 T memcpy
examples/c/app/out/app.elf:1a002064 00000020 T __aeabi_cdrcmple
examples/c/app/out/app.elf:1a0001ba 00000002 W SGPIO_IRQHandler
examples/c/app/out/app.elf:1a0026b4 0000000c T _cleanup_r
examples/c/app/out/app.elf:1a001ae0 00000022 T __floatsidf
examples/c/app/out/app.elf:1a001fe0 00000082 T __ltdf2
examples/c/app/out/app.elf:1a0020e8 T __aeabi_uldivmod
examples/c/app/out/app.elf:10000a78 ? _noinit
examples/c/app/out/app.elf:10000a4c 00000004 B SystemCoreClock
examples/c/app/out/app.elf:1a001270 00000054 T Chip_UART_Init
examples/c/app/out/app.elf:1a0001ba 00000002 W ADC0_IRQHandler
examples/c/app/out/app.elf:1a007718 000000c8 T __mprec_tens
examples/c/app/out/app.elf:1a000180 00000002 W UsageFault_Handler
examples/c/app/out/app.elf:1a0011f8 0000004c T Chip_Clock_GetRate
examples/c/app/out/app.elf:1a0001ba 00000002 W GPIO6_IRQHandler
examples/c/app/out/app.elf:10000a48 00000004 B __malloc_top_pad
examples/c/app/out/app.elf:1a0006e8 0000006c T Board_SetupClocking
examples/c/app/out/app.elf:20008000 A __top_RamAHB32
examples/c/app/out/app.elf:1a001ac0 0000001e T __aeabi_ui2d
examples/c/app/out/app.elf:1a00628c 00000008 T _localeconv_r
examples/c/app/out/app.elf:1a00668c 00000012 T __i2b
